Source Title,Source Year,Study Type,Main Topic Area,Key Gaps Identified,Key Limitations Discussed,Key Recommendations,Contradictions Or Debates
Analysis of Factors Influencing Outcomes of Full and Partial Hand Multi-articulating Prostheses,2016,literature review,multiple,"Identifies gaps in understanding specific factors influencing function and satisfaction with multi-articulating full and partial hand prostheses, particularly how device type, training, fit/comfort, function, user expectations, and control contribute to abandonment and acceptance. Also notes limited ability to address factors outside clinical control (e.g. level of limb loss, comorbidities) indicating a gap in interventions for these areas.","Highlights limitations including uncontrollable patient factors (level of limb loss, medical complications) and modifiable design/practice issues: device selection/type, inadequate training, poor fit/comfort, limited device function, mismatched expectations, and control difficulties; suggests current practice may lack comprehensive team-based approaches to fully address these issues.","Recommends further study to better understand factors influencing function and satisfaction with multi-articulating hand prostheses and advocates team-based care to address modifiable causes of abandonment (device choice, training, fit, function, expectation management, control).",Not mentioned in source.
Comparisons of Lower Limb Prosthesis Components and Long-Term Continued Use of Prostheses: A Systematic Review,2017,Systematic review,multiple,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
A Literature Review of Children's Use of and Satisfaction with Upper Limb Prostheses,2017,Literature review,user involvement; customization; functionality (multiple),Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Implementation of Speech Generating Devices: Facilitating Function,2013,Not mentioned in source.,user involvement,"Identifies multiple gaps related to implementation and continued use of speech generating devices, specifically: lack of support, lack of training, lack of knowledge, difficulty troubleshooting technical issues, and opportunity and access barriers.","Highlights limitations in practice that lead to device abandonment: insufficient ongoing support and training, limited user knowledge, technical troubleshooting challenges, and broader opportunity/access barriers.",Not mentioned in source.,Not mentioned in source.
Assistive technology - World Health Organization (WHO),2024,Discussion/position paper / Fact sheet,accessibility; policy and provision (multiple),"Significant unmet need and inequitable access to assistive products globally, with extremely low coverage in some low-income countries and large disparities between countries. Specific gaps include insufficient supply for key products (e.g., wheelchairs and hearing aids) and systemic barriers such as low awareness, high cost, limited physical access, inadequate product range, procurement and workforce capacity issues, weak policy and funding, sector fragmentation and sociodemographic obstacles.","Limitations highlighted include severe supply shortfalls for specific devices (hearing aids, wheelchairs), and systemic limitations such as workforce capacity gaps, inadequate policy and funding, fragmented sector and procurement challenges that impede effective delivery and appropriate product range.","WHO/UNICEF recommendations: multi-sectoral access improvement, ensuring safe/affordable products, workforce strengthening, involving users/families across the pathway, awareness and stigma reduction, data-driven policy, research and innovation, enabling environments, inclusion in humanitarian responses, and international cooperation.",Not mentioned in source.
Global Report on Assistive Technology,2022,Discussion paper / policy report,"Accessibility, customization, user involvement, design methods (multiple)","Identifies a large, global unmet need for assistive technology and insufficient access worldwide; highlights gaps in policy attention, funding, and availability evidenced by the need for a global roadmap and comprehensive dataset to inform governments and stakeholders.",Discusses limitations in current systems: fragmented service provision and lack of coordinated policy and funding mechanisms (implied by emphasis on policy and multi-stakeholder roadmap).,"Recommends a ten-point global strategy including policy action, scaling access, integration with UHC, and alignment with international conventions; calls for coordinated government action and stakeholder engagement.",Not mentioned in source.
Global Report on Assistive Technology,2022,Policy report / Global report (not a systematic review),accessibility,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Global Disparities in Access to Assistive Technology - 3DA,2025,Discussion paper / policy review,"accessibility (global access, policy) and user involvement (co-design)","The paper identifies large unmet global need for AT, with nearly one billion denied access despite 2.5 billion needing products; gaps in product coverage particularly for cognition and communication AT; lack of longitudinal and representative datasets on AT use, limiting policy-making; and absence of cohesive national AT policies and integration into health/social systems.",The paper highlights inequitable access across income levels; financial barriers due to out-of-pocket costs and self-funding; workforce and supply shortages including scarce trained personnel and uneven geographic distribution; and poor fit of off-the-shelf products to local contexts.,"Recommendations include national AT policies aligned with WHO APL and dedicated funding, workforce development, and supply chain strengthening; promote user-centered co-design and local adaptation to improve cultural and contextual fit; and expand longitudinal datasets (e.g., rATA, cohorts) to monitor access and outcomes.",The paper notes tensions rather than formal contradictions: dominant guidance and evidence stem from high-income contexts focusing on certain product types while innovations like DIY user-modified AT fill local needs but raise questions about sustainability and formalization.
The Global Report on Assistive Technology,2022,Policy report / global review (WHO & UNICEF report),"accessibility, customization, user involvement, design methods (multiple)","The report identifies a massive global unmet need for assistive products (2.5 billion people in need) with nearly one billion denied access and extremely low access rates in low-income settings (as low as 3%). It highlights specific gaps in service provision and trained workforce across 70 countries, and systemic barriers including lack of awareness, unaffordable prices, inadequate product quality, limited range and quantity, and procurement/supply-chain problems.","Limitations highlighted include affordability and high out-of-pocket costs for users, inadequate service provision and workforce capacity leading to poor access and quality of provision, challenges specific to children (need for frequent adjustments/replacements as they grow), and a projected rise in demand that current systems may not meet (3.5 billion by 2050).","Key recommendations include integrating assistive technology into education, health and social care systems; actively involving users and families in design and delivery; investing in data and evidence-based policy; and investing in research, innovation and enabling ecosystems to expand access and quality.",Not mentioned in source.
Global availability of guidelines related to assistive technology,2025,Scoping review,"accessibility, design methods, user involvement (multiple)","The review identifies several research and guidance gaps: lack of guidelines for cognition and communication assistive products; generally weak evidence supporting recommendations for assistive products, limiting evidence-informed provision; and workforce and service delivery gaps that impede guideline implementation and appropriate provision.",The paper highlights limitations including its own language restriction to English which may miss local guidelines; a general paucity of high-quality evidence underpinning assistive product recommendations; and contextual implementation barriers such as supply-chain constraints and governance fragmentation that limit guideline applicability.,"Recommendations include harmonizing terminology and standards across ISO, WHO APL and ICF to reduce ambiguity; investing in systematic research and diverse methodologies to fill evidence gaps for assistive products; and adopting living guidelines to keep recommendations current with technology and evidence.","The paper documents debates and contradictions around terminology and classification (ISO 9999 vs WHO APL) creating ambiguity for stakeholders, and discusses tensions between static standards and rapidly evolving digital/consumer technologies that blur assistive technology boundaries."
Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Global report on assistive technology,2022,Discussion paper / Global report (synthesis of evidence and consultations),"multiple (accessibility, customization, design methods, user involvement)","Identifies large gaps in access to assistive technology worldwide and broader knowledge gaps despite available evidence: unmet need for adequate quantities of safe, effective and affordable products. Specifies research gaps in: outcomes (human rights, quality of life), affordability and availability, service delivery and financing models, cost-effectiveness, enabling environments, and assistive technology in humanitarian crises.","Highlights system-level limitations: weak regulatory and standards frameworks, insufficiently trained workforce and provider capacity, high costs and affordability barriers, uneven provision and procurement systems, and lack of quality standards and service models across countries.","Recommends national strategies and plans including integration into health/social sectors, strengthening regulation and standards, building workforce capacity, active user involvement and co-design, investing in data collection and research, establishing essential assistive products lists and procurement mechanisms, and ensuring affordability via financing and reduced taxes.",Not mentioned in source.
Global report on assistive technology: summary,2022,Summary report (policy/global report summary),accessibility (assistive technology access),"The report identifies a large global unmet need for assistive products, noting that many people who could benefit lack access and that availability, affordability and awareness are significant gaps.","It highlights limitations in service provision (weak or absent assessment, provision and follow-up) and fragmented, under-resourced supply chains as barriers to effective assistive technology delivery.",It provides ten recommendations for strengthening systems to improve access to assistive technology and directs readers to the full report for detailed actions and data.,Not mentioned in source.
Global report on assistive technology,2022,Global report / policy synthesis (comprehensive review and analysis),multiple,"Identifies large global access gaps: majority in need lack access; inconsistent availability across countries with access varying from 3% to 90% (surveys across 29 countries); workforce and service provision shortfalls in many countries; multiple system-level barriers including awareness, affordability, product quality/range, procurement and supply-chain failures.","Notes major limitations: unmet population need across surveyed countries; acknowledges methodological limitations in modelled prevalence estimates due to limited training data, non-nationally-representative surveys, and mismatched years of variables; highlights systemic limitations such as workforce capacity gaps and low policy prioritization.","Provides concrete recommendations: ensure safe, effective and affordable products with standards and regulatory systems; actively involve users and families in design, provision and evaluation; invest in data collection and evidence-based policy (use rATA) to track need and coverage; invest in research, innovation and enabling ecosystems including manufacturing, market-shaping and start-up support.","Does not present direct contradictions but highlights tensions/debates: individualized solutions versus standardization/standards (one-size does not fit all); the clear economic case for investment contrasts with persistent access inequities, especially in low- and middle-income countries; scope limitations (no product-specific guidance) constrain technical debates."
Global report on assistive technology,2022,Discussion / policy report,"accessibility, customization, user involvement, design methods (multiple)",Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Global report on assistive technology,2022,Discussion paper / Global report,accessibility; customization; user involvement; design methods (multiple),"The report identifies large unmet needs for assistive products, noting that ""More than 2.5 billion people are estimated to need one or more assistive products, yet many lack access to them"". It highlights critical gaps across service delivery, workforce capacity, supply systems and data for planning and financing assistive technology. The report also notes limited evidence on effectiveness, long-term outcomes and cost-effectiveness of many assistive products, especially in low- and middle-income countries, and insufficient documentation and integration of user preferences, cultural acceptability and participation in design and provision.","The report discusses limitations including widespread unaffordability and unavailability of assistive products, fragmented supply chains and limited local manufacturing capacity, and shortages of trained personnel for assessment, prescription, fitting and follow-up within health and social systems.","Key recommendations include integrating assistive technology into national health and social policies and financing, investing in workforce training, strengthening supply systems and improving data collection and research, and ensuring active involvement of people who need assistive products in policy-making, procurement and service delivery.","The report notes there is limited and sometimes equivocal evidence regarding effectiveness and cost-effectiveness of many assistive products, indicating debate or uncertainty in the literature particularly for low- and middle-income country contexts."
Global Report on Assistive Technology (GReAT),2022,Report (comprehensive global report / policy report),accessibility,"The report highlights large global gaps in access to assistive technology, noting that ""Almost one billion...in need of assistive technology [are] denied access"". It indicates insufficient availability and uptake of assistive technologies and frames the need for improved data and analysis on access to inform policy and investment decisions. The existence of ten recommendations implies identified unmet needs across policy, service provision, and financing to achieve UHC and SDGs.","The report notes limitations in current global systems for assistive technology, including insufficient policy implementation and limited access that undermine potential return on investment and achievement of UHC and SDGs. Specific technical or design limitations are not detailed in the provided text.","The report issues ten high-level recommendations aimed at improving access to assistive technology to support SDGs, UHC, and the CRPD; the specific recommendations are not contained in the provided text and thus not extractable here.",Not mentioned in source.
Global priority research agenda for improving access to high-quality affordable assistive technology,2017,Discussion paper / Research agenda,"accessibility; research priorities across multiple areas (design methods, customization, user involvement)","Identifies a major global access gap: only one in ten people who need assistive technology currently have access, despite >1 billion in need, signalling unmet needs for scale-up and access worldwide. It calls for prioritized research and innovation to address barriers to access and affordability.","Highlights system-level limitations: lack of access leads to exclusion, poverty, and amplified health/societal impacts, indicating limitations in delivery systems, affordability, and policy frameworks. Specific methodological or design limitations are not detailed in the provided text beyond broad system and access constraints.",Recommends establishing coordinated global efforts (GATE) and prioritizing research and innovation to improve access and affordability; suggests research agenda and policy action though specific research topics/recommendations are not present in the provided excerpt.,Not mentioned in source.
Improving access to assistive technology,2018,Discussion paper / WHO report,"accessibility (multiple: policy, products, service provision, personnel, procurement)","The report identifies very low global access to assistive products due to high costs, lack of financing, availability, awareness and trained personnel. It highlights that R&D has been concentrated in high-income contexts and not driven by diverse user needs or service provision priorities, indicating a gap in context-appropriate research and workforce-focused studies. It also notes lack of awareness among providers and users about available products as a barrier to access.","The report discusses limitations including weak regulation and standards for safety and effectiveness, manufacturing issues leading to non-replaceable parts and poor repairability that increase abandonment, and fragmented service provision lacking assessment, fitting, training and follow-up.","Recommendations include developing national policies and strategic plans with WHO technical support, adopting the WHO priority assistive products list as a model for national lists, strengthening workforce capacity via training packages, and publishing guidance on service provision models and procurement to improve access and quality.",Not mentioned in source.
Policy brief: Access to assistive technology,2021,Policy brief / discussion paper,accessibility,"Identifies lack of prioritisation and fragmented investment in assistive technology at policy and system levels; highlights persistent challenges to equitable access and specific unmet needs across policy, products, personnel and provision (5P) indicating gaps in comprehensive service delivery and systems-level integration.",Notes growing unmet need driven by ageing and NCDs; limited and fragmented investment and low prioritisation in health and development agendas are key limitations; current service provision is insufficiently integrated into UHC and primary health care systems.,"Recommends people-centred actions across the 5P framework (policy, products, personnel, provision) to improve access; advocates inclusion of assistive technology within universal health coverage and strengthening provision through primary health care.",Not mentioned in source.
Policy brief: Access to assistive technology,2021,Policy brief / discussion paper,"accessibility (policy, provision)","Identifies lack of prioritization and fragmented/limited investment in assistive technology as a major gap, and the absence of integration within universal health coverage and primary health care systems.",Highlights that current systems suffer from limited and fragmented funding and weak provision pathways that impede equitable access to assistive products and services.,"Recommends a people-centred 5P approach (policy, products, personnel, provision, people) and integration of assistive technology into universal health coverage and primary health care; calls for concrete actions for policymakers to strengthen provision and investment.",Not mentioned in source.
Advancing prosthesis design: ontology driven multi-disciplinary framework for evolving amputee needs,2025,discussion paper / conceptual framework (conference proceedings article),design methods; user involvement; customization,"Identifies fragmentation of current design practice and a lack of integrated, lifecycle-wide stakeholder collaboration and real-time data integration as major gaps in prosthesis design. These gaps include isolated digital tools that are not part of decision-support and the absence of systematic evaluation frameworks to capture stakeholder experiential knowledge.","Highlights limitations: reliance on manual, experience-based design; siloed stakeholders leading to reactive rather than proactive optimisation; and isolated digital tools not integrated into lifecycle decision-making.","Recommends adopting an ontology-driven, multidisciplinary framework (adProLiSS/ODCMM) that integrates stakeholder knowledge, real-time smart-prosthetic data and AI-driven decision-support; and further work to integrate KICAD/digital modelling and validate the framework across diverse users.",Not mentioned in source.
Failure mode effect analysis use and limitations in medical device ...,2024,Qualitative study / literature review (discussion paper),design methods (risk analysis techniques) and user involvement? multiple,"Identified gaps include limited peer-reviewed literature on FMEA application in medical devices, widespread overreliance on FMEA with insufficient use of complementary/top-down tools like Fault Tree Analysis or Preliminary Hazard Analysis, and a newly reported gap concerning integrating risk assessments across outsourced processes where differing rating systems impede consistent risk evaluation.","The paper highlights key limitations of FMEA: inability to address multiple-failure or normal-condition hazards, subjectivity and inconsistency in Severity/Occurrence/Detection scoring, and practical burdens such as time-consuming maintenance and scalability issues for large analyses.","Recommendations: adopt multiple complementary RM techniques (e.g., Preliminary Hazard Analysis, Fault Tree Analysis) alongside FMEA to cover top-down and normal-condition hazards; use ISO/TR 24971 guidance and device characterization/GSPR checklists as inputs; and improve organizational competence via dedicated Risk Management roles and enhanced training.","The paper notes tensions: practitioners and regulators favor established FMEA practices despite acknowledged methodological shortcomings, and there is debate about regulatory oversight competence—Notified Bodies often accept FMEA-based evidence even when it may not meet ISO 14971's top-down hazard framing."
Impact of Design on Medical Device Safety - PMC,2019,Literature review / Discussion paper,design methods; human factors; risk management (multiple),Identifies gaps in post-market surveillance and regulatory response timing; insufficient end-user identification and involvement during design inputs leading to misaligned devices; lack of industry capacity for self-evaluation and real-time safety monitoring due to costs and audit fear.,Highlights regulatory and approval pressures that prioritize performance over safety; inadequate integration of complex socio-technical user-device-system contexts in design leading to unsafe products; critical vulnerabilities from software defects in devices.,Advocates early integration of Quality and Risk Management in design (design control/HFE); adoption of harmonized regulations and HFE principles to improve safety and market access; develop Coordinated Registry Networks for improved post-market surveillance.,"Notes tension between economic constraints on manufacturers (ALARP) and regulatory expectations for maximal risk reduction, creating debate over how far safety must be pursued given costs; highlights disagreement/gap in timing and effectiveness between premarket authorization and post-market surveillance."
Applying Human Factors and Usability Engineering to Medical Devices: Guidance for Industry and Food and Drug Administration Staff,2016,Guidance document / Discussion paper (regulatory guidance),"design methods (human factors/usability), user involvement, accessibility (use environments)",Not mentioned in source.,The guidance highlights limitations including that many use errors are unpredictable without simulated or actual use testing; analytical methods alone are insufficient because they omit real users and realistic contexts; reliance on labeling and training is limited since labeling may be unavailable during use and training decays over time; and that residual risk cannot be fully eliminated—devices cannot be made error-proof.,"Recommendations include conducting comprehensive preliminary analyses to identify anticipated and unanticipated use-related hazards, applying design modifications as the preferred risk control (inherent safety by design) and protective measures when design changes are impractical, and performing human factors validation testing (simulated-use or actual-use when necessary) with representative participants and critical tasks to demonstrate safety and effectiveness.","The document notes debates about terminology and scope (e.g., differences between ""human factors validation testing"" and ""summative usability testing"") and emphasizes that mitigation via training or labeling is not acceptable without evidence of effectiveness, reflecting a tension between design-based and training/labeling-based risk controls."
Co-creation and User Perspectives for Upper Limb Prosthetics,2021,Original research (co-creation workshop with survey) — not a systematic review or meta-analysis; classified as a discussion/participant-research paper,"multiple (user involvement, design methods, clinical service, collaboration, accessibility/awareness, customization/aesthetics)","Identified gaps include: failure of current devices to meet user needs (function, sensory feedback) leading to high abandonment rates; a mismatch between laboratory metrics and real-world/clinical outcomes indicating lack of ecological validation; lack of longitudinal, in-home, live-data studies to assess real-world prosthesis value and usage patterns; and insufficient multi-stakeholder focus on priorities (need for collaboration, clinical service improvements, and media/awareness).","Limitations discussed: academic focus on early-stage/laboratory results that may not reflect real-life use; ethical and regulatory barriers complicating in-home and participatory research; logistical barriers to co-creation (geography, digital access) and potential loss of academic freedom in industry partnerships (implicit in discussion) — and limited generalisability due to UK-only participant sample.","Recommendations: use co-creation/co-design to embed users throughout research and development; conduct long-term, in-home, real-world data collection and trials to evaluate prosthesis use and outcomes; address ethics/regulatory processes by adopting ongoing consent and adapting governance for participatory studies; improve transparency and multi-stakeholder collaboration including policy engagement to influence funding and clinical pathways.","The paper notes contradictions in the literature: devices that technically meet user-identified requirements may still be rejected by users, indicating complex acceptance factors beyond design specs. There is discussion/debate over trade-offs such as aesthetics vs function and whether high-tech solutions are always preferred versus simple solutions that work for individuals (implied by workshop quotes). "
The Role of Neuroergonomics in the Design of Personalized Prosthesis: Deepening the Centrality of Human Being,2022,Opinion / Discussion paper,design methods; user involvement; customization,"The paper identifies gaps in: the sufficiency of neuro-based approaches for designing human-friendly prostheses; lack of integration of first-person subjective experience in personalization processes; insufficient direct user involvement during design, impacting prosthesis acceptance.","Limits highlighted include over-reliance on neurophysiological/functionality metrics while neglecting experiential dimensions, and methodological weaknesses in handling subjective reports (either treating them as secondary or lacking rigorous methods).","Recommend adopting a 'quanto-qualitative' mixed methodology integrating neurophysiological measures with first-person phenomenological data, focus on measuring phenomenological elements (naturalness, perceived ability, embodiment), and use multimodal data integration to evaluate embodiment and improve design outcomes.","The paper frames a debate between neuro-centric/designs emphasizing neurophysiological measures and phenomenological/user-centered perspectives, arguing they are complementary and that overemphasis on neuro methods alone is inadequate."
A scoping review of digital fabrication techniques applied...,2024,Scoping review,"design methods, customization, accessibility, user involvement (multiple)","Key gaps identified include lack of long-term, large-scale studies, paucity of formal peer-reviewed studies for mature/commercial systems despite market use, minimal research on training and maintenance requirements for personnel using digital fabrication equipment, scarce research specifically on modification/rectification practices post-fabrication, and unclear data on the numbers, outcomes, and geographic distribution of clinical use of digital technologies.","Limitations highlighted: predominance of low TRL proof-of-concept studies with limited real-world/long-term testing; frequent omission of critical postprocessing and adjustments in methods reporting; sparse qualitative outcome data and ON-patient long-term evaluations; concerns about material properties, strength and durability of AM-produced devices; and incomplete reporting of materials used.","Recommendations: conduct larger, long-term, and higher-TRL clinical studies and translate in-house/industry R&D into peer-reviewed trials; increase collaboration between academia, industry and clinical teams across the pathway to market; improve visibility and reporting of clinical use, outcomes and geographic spread of digital fabrication systems.","Contradictions/debates: tension between authors advocating low-cost FDM scaling and lack of scaled implementation; mixed comparative outcomes between printed and conventional devices across different sites (e.g., Tanzania vs other sites) indicating inconsistent effectiveness findings; discrepancy between commercial market readiness claims and paucity of peer-reviewed longitudinal evidence."
A scoping review of digital fabrication techniques applied to prosthetics and orthotics: Part 1 of 2—Prosthetics,2024,Scoping literature review,design methods; customization; accessibility; user involvement (multiple),"The review identifies several research gaps: lack of long-term, larger-scale studies on digitally fabricated prosthetics; insufficient research into training requirements and necessary rectification processes for clinical teams adopting these technologies; and high variability in production workflows and materials that prevents synthesis and clear conclusions across studies.","The paper highlights limitations in the existing literature: predominance of small, short-term studies and absence of larger longitudinal research; lack of evidence on training and rectification processes needed for clinical implementation; and heterogeneity of workflows and materials complicating comparison and evidence synthesis. These limitations hinder evidence-based decision-making for clinicians, developers, and policymakers.","Recommendations include fostering increased collaboration between academia, industry, and clinical teams across the pathway to market to address identified gaps and support maturation of digital fabrication technologies for prosthetics.",Not mentioned in source.
An Interdisciplinary Approach and Advanced Techniques for Enhanced 3D-Printed Upper Limb Prosthetic Socket Design: A Literature Review,2023,Literature review,"Multiple (design methods, customization, accessibility, user involvement, interdisciplinary collaboration)","The paper identifies gaps in: interdisciplinary collaboration processes and evaluation methods; materials science for 3D-printed prosthetics, including durability and suitable printing materials; quality control and standardization for 3D-printed sockets; regulatory and reimbursement frameworks for additive-manufactured prostheses; empirical evidence on long-term functionality, durability and rates/reasons of prosthesis rejection/abandonment for 3D-printed ULPs.","Limitations highlighted include material properties and durability shortcomings of printed sockets; need for laborious post-processing to achieve acceptable finish and comfort; absence of standardized processes leading to variable quality and functional performance; workforce skill and training gaps for CAD, AM and digital workflows.","Recommendations include developing and validating quality control and standardization methodologies for 3D-printed sockets; targeted interdisciplinary research on materials, durability and long-term outcomes including abandonment rates; fostering interdisciplinary collaboration through institutional innovation, shared language and evidence-based evaluation; training and workforce development in AM/CAD techniques (implied across discussion).","The paper notes tensions/debates such as claims of 3D printing being low-cost versus material and post-processing costs that reduce affordability, and optimism about customization/accessibility versus practical limitations (materials, durability, standards) that temper expectations."
Repairing the prosthetic science-policy rift: Challenges to improved access to and translation of prosthetic technologies,2023,Review (policy/discussion review),accessibility; policy and translation of prosthetic technologies (multiple),"Identifies gaps in access to prosthetic care, including preventative and post-amputation services and racial and socioeconomic disparities in access to prosthetic technologies. Also highlights a gap between advancing prosthetic technologies and health coverage/policy that limits translation and patient access.","Highlights policy and regulatory limitations that determine provision and access to prosthetic technologies, leading to restricted mobility and function for users. Emphasizes existing health disparities that limit adoption and equitable distribution of prosthetic devices.","Recommends bridging the gap between emerging prosthetic technologies and health coverage—i.e., aligning policy/coverage with technological advancement to expand patient access.",Not mentioned in source.
Advances in prosthetic technology: a perspective on ethical considerations for development and clinical translation,2024,Perspective / Discussion paper,multiple,Identified gaps: limited research on prospective user perspectives for guiding new prosthetic designs; poor reporting of participant sociodemographic data (race/ethnicity) limiting equity analyses; underexamined knowledge translation/implementation research to bring innovations into clinical practice; need for studies on integrating digital/AI technologies into clinical decision-making and long-term care pathways.,"Limitations highlighted: technical and commercialization barriers for active prostheses (weight, bulk, inefficiency); training and usability gaps causing device abandonment; reimbursement and coverage structures that exclude cosmetic or high-cost devices; regulatory/education gaps for fabrication and fitters (lack of certification); practical barriers to integrating digital/AI tools including privacy, maintenance, cost-effectiveness, and clinician scope.",Recommendations: adopt user-centered and participatory design methods and usability/acceptance frameworks in development studies; collect and report socioeconomic/demographic data to address equity; generate high-quality evidence of clinical benefit before commercialization and advocate for reimbursement changes; develop decision-support tools and knowledge translation work to help clinicians adopt new tech.,"Debates: conflicting user preferences—some prefer incremental, non-invasive improvements while others would accept invasive/novel technologies for large functional gains; trade-offs between regulatory rigor/high-quality evidence and affordability/accessibility of devices."
Designing a Digital Toolchain for Prosthetics: A Retrospective,2021,retrospective discussion paper,"design methods, customization, accessibility, user involvement",Identifies a gap between tech developers and clinical/user needs and a need for co-design and equal-status partnerships to ensure appropriate technology and stakeholder-defined value propositions.,"Highlights limitations including entrenched manual casting practices, clinical resistance or difficulty adopting full digital workflows, and practical barriers to implementing digital toolchains in LMIC clinical settings.","Recommends technology pull (user/clinical needs drive development), stakeholder mapping of value propositions, stakeholder consultation on benefits/risks, and designing choices informed by health-economic frameworks and multi-level stakeholder concerns.","Identifies a debate between the optimistic claims about digital manufacturing benefits and the clinical reality/resistance where full digital conversion is not straightforward, indicating conflicting perspectives on readiness and appropriateness of 3D/digital methods."
Human factors considerations of Interaction between wearers ... - NIH,2024,literature review / discussion paper,design methods; user involvement; usability (accessibility/usability); customization (UCIs),"Identifies gaps in usability-focused research (usability under-studied compared to functionality), lack of standardized testing/evaluation methods across cognitive and biomechanical measures, limited research on user-centred design of UCIs and tuning interfaces for wearers (novices), unclear objectives for human-in-the-loop optimization and which parameters to optimize, and need to study transparency, trust, and interplay of wearer/device/task characteristics.","Highlights limitations of existing evaluation methods: traditional evaluations inadequate for intelligent LLPs and lack standardization; physiological workload measures face practical limitations (cost, noise, sensitivity); reliance on subjective self-report can be misleading and not align with objective measures.","Recommend adopting the proposed human-factors framework and Nielsen's five usability requirements to guide evaluation and design; standardize testing methods and reporting (e.g., dual-task instructions) to allow cross-study comparisons; focus on designing wearer-friendly UCIs with error prevention and recovery mechanisms and training supports for novices; investigate transparency, trust, and human-in-the-loop optimization goals and impacted wearer characteristics; apply new tasks/measures like SWAVF to assess visuospatial attention during walking.","Notes contradictions between subjective preferences and objective performance measures (self-report vs objective data), and mixed evidence on the utility of physiological measures for cognitive workload during walking due to methodological challenges."
3D printed transtibial prosthetic sockets: A systematic review,2022,systematic review,"design methods, customization, accessibility, user involvement (multiple)","The review identifies several research gaps: clinical evidence is limited and short-term (2–6 weeks); a lack of research on ultimate force and long-term durability/fatigue testing of 3D-printed sockets; heterogeneous and poorly-justified material choices across studies, limiting comparability and material-selection guidance; insufficient evidence addressing safety, durability, and comfort that impede clinical adoption; and a need for research into factors that drive clinical utilization (implementation barriers).",Key limitations highlighted include large methodological heterogeneity across studies that prevents meta-analysis and clear comparisons; reliance on ISO 10328 which concentrates stress at the distal end and may miss proximal failure risks; poor study designs such as lack of sample size justification and single-sample testing limiting statistical power; and variability in manufacturing processes and limb/test setups causing inconsistent socket geometry and strength outcomes.,"Recommendations include design modifications to strengthen the distal end and pyramid attachment and use emerging printing technologies (e.g., annealing, composite filaments) to improve strength; research into printing parameters and distal reinforcement (stronger layer around pin holes); standardization and development of socket testing methods beyond ISO 10328 to assess other regions; and studies demonstrating durability/fatigue and investigating barriers to clinical adoption to increase utilization.","There are nuanced, partially conflicting findings: on one hand, cumulative analyses suggest 3DS and LCS have similar failure probabilities at P5-P7 loads; on the other hand, averaged measures and observations indicate 3DS (PLA/PP) are generally weaker than LCS unless reinforced with composites, and at high loads (>4500 N/P8) 3DS may be more likely to fail. These differences reflect heterogeneity in materials, testing alignments, and manufacturing methods and lead to debate about equivalence of 3DS and LCS."
A Review of Recent Applications of 3D Printing in Healthcare Research and Development,2025,Literature review (review paper / narrative review),"multiple (custom prosthetics, design methods, customization, accessibility, regulatory and user-related issues)","The paper identifies gaps in regulatory frameworks and quality control for 3D-printed medical products, a limited library of suitable biomaterials that are biocompatible, sterilisable, and durable, and unmet needs around equity, cost, and healthcare infrastructure that limit access in low-resource settings.","The paper highlights limitations including regulatory and quality-control complexity for individualized 3D-printed devices, unresolved material biocompatibility and long-term durability issues, and insufficient interdisciplinary training and workforce capacity to implement 3DP clinically.","The paper recommends advancing material science and bioprinting technologies and pursuing regulatory harmonization to enable clinical translation of 3DP applications, and calls for efforts to address equity, cost, and infrastructure to improve access in low-resource settings. It also suggests continued research toward bioprinting capabilities for tissue and organ fabrication.",Not mentioned in source.
Perceived barriers and opportunities to the use of 3D printing in a healthcare system with low adoption: A semi-structured interview study,2025,Qualitative interview study (not a review),additive manufacturing in healthcare — design methods/customization/accessibility/user involvement (multiple),"Identifies lack of large-scale clinical effectiveness and safety studies for 3D printing in healthcare, a paucity of technology assessment research on 3D printing and its impacts on adoption, and limited generalisability from single-region studies indicating need for broader, international research.","Highlights low awareness among HCPs and limited access to printers and expertise, shortages of specialist staffing and infrastructure in many facilities, systemic pressures and competing priorities that deprioritise innovation, and potential role disruption, regulatory and quality concerns from shifting production in-house.",Recommend raising awareness and implementing education/interventions for HCPs about 3D printing benefits and uses; consider hub-and-spoke models with point-of-care facilities acting as regional hubs to share expertise and resources; and conduct broader international and technology-assessment research to establish evidence of effectiveness and safety.,"Documents debates among HCPs about education (whether 3D printing belongs in undergraduate curricula), tensions between innovation and resource-constrained priorities—innovation seen as a 'luxury' vs potential adjunct to care, and concerns about role displacement and disruption of existing supply relationships and regulatory/legal implications."
